ID,Name,Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Thoothed,Beckbone,Breathes,Venomus,Fins,Legs,Tail,Domestic,Catsize,Type
14,clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
15,crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
16,crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
47,lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
54,octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
73,scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
78,seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
82,slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
86,starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
100,worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
